Conductor,Rank,mu_7,lam_7,lam_7_MW
43a1,1,0.0,1.0,1.0
43a1,1,0.0,3.0,1.0
473a1,1,0.0,1.0,1.0
473a1,1,0.0,3.0,1.0
615a1,1,0.0,1.0,1.0
615a1,1,0.0,3.0,1.0
640h1,1,0.0,1.0,1.0
640h1,1,0.0,3.0,1.0
690e1,1,0.0,1.0,1.0
690e1,1,0.0,5.0,1.0
720h1,1,0.0,1.0,1.0
720h1,1,0.0,3.0,1.0
723a1,1,0.0,1.0,1.0
723a1,1,0.0,3.0,1.0
726a1,1,0.0,1.0,1.0
726a1,1,0.0,3.0,1.0
759b1,1,0.0,1.0,1.0
759b1,1,0.0,3.0,1.0
782a1,1,0.0,1.0,1.0
782a1,1,0.0,3.0,1.0
811a1,1,0.0,1.0,1.0
811a1,1,0.0,3.0,1.0
816h1,1,0.0,1.0,1.0
816h1,1,0.0,3.0,1.0
827a1,1,0.0,1.0,1.0
827a1,1,0.0,3.0,1.0
856c1,1,0.0,1.0,1.0
856c1,1,0.0,3.0,1.0
885c1,1,0.0,1.0,1.0
885c1,1,0.0,3.0,1.0
912g1,1,0.0,1.0,1.0
912g1,1,0.0,5.0,1.0
914a1,1,0.0,1.0,1.0
914a1,1,0.0,3.0,1.0
928a1,1,0.0,1.0,1.0
928a1,1,0.0,3.0,1.0
1020b1,1,0.0,1.0,1.0
1020b1,1,0.0,3.0,1.0
1040a1,1,0.0,1.0,1.0
1040a1,1,0.0,3.0,1.0
1051a1,1,0.0,1.0,1.0
1051a1,1,0.0,3.0,1.0
1088d1,1,0.0,1.0,1.0
1088d1,1,0.0,5.0,1.0
1122e1,1,0.0,1.0,1.0
1122e1,1,0.0,3.0,1.0
1122f1,1,0.0,1.0,1.0
1122f1,1,0.0,3.0,1.0
1128d1,1,0.0,1.0,1.0
1128d1,1,0.0,3.0,1.0
1143b1,1,0.0,1.0,1.0
1143b1,1,0.0,3.0,1.0
1224d1,1,0.0,1.0,1.0
1224d1,1,0.0,3.0,1.0
1254g1,1,0.0,1.0,1.0
1254g1,1,0.0,3.0,1.0
1320b1,1,0.0,1.0,1.0
1320b1,1,0.0,3.0,1.0
1320h1,1,0.0,1.0,1.0
1320h1,1,0.0,3.0,1.0
1370b1,1,0.0,1.0,1.0
1370b1,1,0.0,3.0,1.0
1394c1,1,0.0,3.0,1.0
1394c1,1,0.0,5.0,1.0
1394d1,1,0.0,1.0,1.0
1394d1,1,0.0,3.0,1.0
1462a1,1,0.0,1.0,1.0
1462a1,1,0.0,3.0,1.0
1479a1,1,0.0,1.0,1.0
1479a1,1,0.0,3.0,1.0
1524a1,1,0.0,1.0,1.0
1524a1,1,0.0,3.0,1.0
1569a1,1,0.0,1.0,1.0
1569a1,1,0.0,3.0,1.0
1704d1,1,0.0,1.0,1.0
1704d1,1,0.0,3.0,1.0
