Label,plus_test,minus_test
37a1,False,False
117a1,False,False
117a2,False,False
117a3,False,False
117a4,False,False
121b1,False,False
121b2,False,False
122a1,False,False
123a1,False,False
123a2,False,False
136a1,False,False
136a2,False,False
138a1,False,False
138a2,False,False
158a1,False,False
175a1,False,False
175a2,False,False
205a1,False,False
205a2,False,False
205a3,False,False
205a4,False,False
210d1,False,False
210d2,False,False
210d3,False,False
210d4,False,False
232a1,False,False
238a1,False,False
238a2,False,False
256b1,False,False
256b2,False,False
286b1,False,True
288a1,False,False
288a2,False,False
297b1,False,False
297c1,False,False
300d1,False,False
300d2,False,False
302a1,False,False
302a2,False,False
322d1,False,True
322d2,False,True
338a1,False,False
338a2,False,False
339c1,False,False
340a1,False,False
340a2,False,False
354c1,False,False
384d1,False,False
384d2,False,False
390a1,False,False
390a2,False,False
390a3,False,False
390a4,False,False
423c1,False,False
423c2,False,False
423c3,False,False
423c4,False,False
425d1,False,False
425d2,False,False
440b1,False,False
440b2,False,False
441d1,False,False
441d2,False,False
441d3,False,False
441d4,False,False
442b1,False,False
442b2,False,False
450c1,False,False
450c2,False,False
450c3,False,False
450c4,False,False
455b1,False,False
455b2,False,False
455b3,False,False
455b4,False,False
464a1,False,False
464b1,False,False
480f1,False,False
480f2,False,False
480f3,False,False
480f4,False,False
481a1,False,False
481a2,False,False
505a1,False,False
505a2,False,False
507c1,False,True
507c2,False,True
507c3,False,True
507c4,False,True
514a1,False,False
514a2,False,False
514a3,False,False
514a4,False,False
522f1,False,False
522f2,False,False
528h1,False,False
528h2,False,False
528h3,False,False
528h4,False,False
539c1,False,False
539c2,False,False
539d1,False,False
539d2,False,False
539d3,False,False
552a1,False,False
552a2,False,False
552d1,False,False
552d2,False,False
552d3,False,False
552d4,False,False
560d1,False,False
560d2,False,False
560d3,False,False
560d4,False,False
573c1,False,False
574g1,False,False
576h1,False,False
576h2,False,False
576h3,False,False
576h4,False,False
579b1,False,False
579b2,False,False
582a1,False,False
582a2,False,False
594a1,False,False
609a1,False,False
609a2,False,False
620b1,False,False
620b2,False,False
624a1,False,False
624a2,False,False
630e1,False,False
630e2,False,False
630e3,False,False
630e4,False,False
635b1,False,False
639a1,False,True
639a2,False,True
644b1,False,False
645f1,False,False
658f1,False,False
663c1,False,False
663c2,False,False
678c1,False,False
678c2,False,False
690h1,False,False
690h2,False,False
696a1,False,False
702b1,False,False
704a1,False,False
704a2,False,False
704a3,False,False
704k1,False,False
704k2,False,False
704k3,False,False
714f1,False,False
714f2,False,False
714f3,False,False
714f4,False,False
726d1,False,False
726e1,False,False
726e2,False,False
726e3,False,False
726e4,False,False
730f1,False,False
730f2,False,False
732c1,False,False
732c2,False,False
740c1,False,False
742a1,False,False
754d1,False,False
765c1,False,False
765c2,False,False
770d1,False,False
770d2,False,False
784h1,False,False
784h2,False,False
784h3,False,False
784h4,False,False
786a1,False,False
791c1,False,True
791c2,False,True
791c3,False,True
791c4,False,True
792d1,False,False
792d2,False,False
792d3,False,False
792d4,False,False
800a1,False,False
800a2,False,False
800a3,False,False
800a4,False,False
800h1,False,False
800h2,False,False
805a1,False,False
825b1,False,False
825b2,False,False
825b3,False,False
825b4,False,False
829a1,True,False
830c1,False,False
840a1,False,False
840a2,False,False
840a3,False,False
840a4,False,False
840e1,False,False
840e2,False,False
840e3,False,False
840e4,False,False
846c1,False,False
846c2,False,False
846c3,False,False
846c4,False,False
847c1,False,False
847c2,False,False
869d1,False,False
