Label,plus_test,minus_test
57a1,False,False
89a1,False,False
121b1,False,False
121b2,False,False
176c1,False,False
176c2,False,False
201a1,False,False
203b1,False,False
208a1,False,True
208a2,False,True
208a3,False,True
209a1,False,False
209a2,False,False
216a1,True,False
218a1,False,False
218a2,False,False
219b1,False,False
219b2,False,False
225a1,False,False
225a2,False,False
243a1,False,False
243a2,False,False
252b1,False,False
252b2,False,False
258c1,False,False
274b1,False,False
285a1,False,False
285a2,False,False
285b1,False,False
285b2,False,False
294g1,False,False
294g2,False,False
298b1,False,False
302c1,False,False
312b1,False,False
312b2,False,False
314a1,False,False
331a1,False,False
333b1,False,False
333b2,False,False
333c1,False,False
333c2,False,False
338e1,False,False
338e2,False,False
338f1,False,False
338f2,False,False
339a1,False,False
361a1,False,False
361a2,False,False
362b1,False,False
385b1,False,False
385b2,False,False
406b1,False,False
406b2,False,False
406c1,False,False
426b1,False,False
426b2,False,False
432b1,False,False
432b2,False,False
441b1,False,False
441b2,False,False
441d1,False,False
441d2,False,False
441d3,False,False
441d4,False,False
442b1,False,False
442b2,False,False
450f1,False,False
450f2,False,False
450f3,False,False
450f4,False,False
456d1,False,False
458b1,False,False
459b1,False,False
484a1,False,False
484a2,False,False
486a1,False,False
486a2,False,False
530d1,False,False
551b1,False,False
558a1,False,False
560f1,False,False
560f2,False,False
576a1,False,False
576a2,False,False
576a3,False,False
576a4,False,False
579b1,False,False
579b2,False,False
582c1,False,False
582c2,False,False
603f1,False,False
608a1,False,False
608d1,False,False
608e1,False,False
618c1,False,False
618c2,False,False
618d1,False,False
618d2,False,False
624a1,False,False
624a2,False,False
632a1,False,False
637a1,False,False
637a2,False,False
637c1,False,False
637c2,False,False
639a1,False,False
639a2,False,False
646d1,False,False
646d2,False,False
650b1,False,False
650b2,False,False
650g1,False,False
650g2,False,False
657c1,False,False
657c2,False,False
660c1,False,False
660c2,False,False
660c3,False,False
660c4,False,False
675a1,False,False
675a2,False,False
675a3,False,False
675a4,False,False
678b1,False,False
682a1,False,False
682a2,False,False
682a3,False,False
705a1,False,False
710c1,False,False
720a1,False,False
720a2,False,False
720g1,False,False
720g2,False,False
720g3,False,False
720g4,False,False
722e1,False,False
722e2,False,False
722e3,False,False
774d1,False,False
774d2,False,False
774f1,False,False
774f2,False,False
784h1,False,False
784h2,False,False
784h3,False,False
784h4,False,False
794b1,False,False
794b2,False,False
794d1,False,False
794d2,False,False
794d3,False,False
801d1,False,False
805a1,False,False
822a1,False,False
828b1,False,False
828b2,False,False
832c1,False,False
832c2,False,False
832c3,False,False
832j1,False,False
832j2,False,False
836a1,False,False
842b1,False,False
850c1,False,False
850l1,False,False
854a1,False,False
855b1,False,False
855b2,False,False
869a1,False,False
870b1,False,True
870b2,False,True
870b3,False,True
870b4,False,True
870f1,False,False
870f2,False,False
882a1,False,False
882a2,False,False
882d1,False,False
882d2,False,False
882g1,False,False
882g2,False,False
882h1,False,False
882h2,False,False
900c1,False,False
900c2,False,False
900d1,False,False
900d2,False,False
901a1,False,False
901a2,False,False
910d1,False,False
910d2,False,False
916d1,False,False
916d2,False,False
924b1,False,False
924c1,False,False
936g1,False,False
936g2,False,False
936h1,False,False
936h2,False,False
938b1,False,False
938b2,False,False
942d1,False,False
946b1,False,False
946b2,False,False
950e1,False,False
950e2,False,False
950e3,False,False
972c1,False,False
972c2,False,False
972d1,False,False
972d2,False,False
973b1,False,False
973b2,False,False
973b3,False,False
980d1,False,False
980d2,False,False
996c1,False,False
996c2,False,False
999a1,False,False
999b1,False,False
1003d1,False,False
1006d1,False,False
1028c1,False,False
1032a1,False,False
1074a1,False,False
1078f1,False,False
1078f2,False,False
1080k1,False,False
1083e1,False,False
1085g1,False,False
1085h1,False,False
1090f1,False,False
1090f2,False,False
1090g1,False,False
1098a1,False,False
1098h1,False,False
1110g1,False,False
1110g2,False,False
1110m1,False,False
1128d1,False,False
1128d2,False,False
1135a1,False,False
1136f1,False,False
1136f2,False,False
1142a1,False,False
1157b1,False,False
1158f1,False,False
1158f2,False,False
1178c1,False,False
1186b1,False,False
1200l1,False,False
1200l2,False,False
1200o1,False,False
1200o2,False,False
1216a1,False,False
1216b1,False,False
1216b2,False,False
1216b3,False,False
1216n1,False,False
1216o1,False,False
1216o2,False,False
1216o3,False,False
1218f1,False,False
1218f2,False,False
1232h1,False,False
1232h2,False,False
1242f1,False,False
1242o1,False,False
1242p1,False,False
1248g1,False,False
1248g2,False,False
1264a1,False,False
1274a1,False,False
1274e1,False,False
1274j1,False,False
1274j2,False,False
1278e1,False,False
1278e2,False,False
1284a1,False,False
