Conductor,Rank,mu_7,lam_7,lam_7_MW
121b1,1,0.0,1.0,1.0
121b1,1,0.0,1.0,1.0
155c1,1,0.0,1.0,1.0
155c1,1,0.0,1.0,1.0
226a1,1,0.0,1.0,1.0
226a1,1,0.0,1.0,1.0
249a1,1,0.0,1.0,1.0
249a1,1,0.0,1.0,1.0
256b1,1,0.0,1.0,1.0
256b1,1,0.0,1.0,1.0
272a1,1,0.0,1.0,1.0
272a1,1,0.0,1.0,1.0
274a1,1,0.0,1.0,1.0
274a1,1,0.0,1.0,1.0
275a1,1,0.0,1.0,1.0
275a1,1,0.0,1.0,1.0
288a1,1,0.0,1.0,1.0
288a1,1,0.0,1.0,1.0
303a1,1,0.0,1.0,1.0
303a1,1,0.0,1.0,1.0
318c1,1,0.0,1.0,1.0
318c1,1,0.0,1.0,1.0
342e1,1,0.0,1.0,1.0
342e1,1,0.0,1.0,1.0
352f1,1,0.0,1.0,1.0
352f1,1,0.0,1.0,1.0
356a1,1,0.0,1.0,1.0
356a1,1,0.0,1.0,1.0
370a1,1,0.0,1.0,1.0
370a1,1,0.0,1.0,1.0
377a1,1,0.0,1.0,1.0
377a1,1,0.0,1.0,1.0
390a1,1,0.0,1.0,1.0
390a1,1,0.0,1.0,1.0
405f1,1,0.0,1.0,1.0
405f1,1,0.0,1.0,1.0
414c1,1,0.0,1.0,1.0
414c1,1,0.0,1.0,1.0
429b1,1,0.0,1.0,1.0
429b1,1,0.0,1.0,1.0
438g1,1,0.0,1.0,1.0
438g1,1,0.0,1.0,1.0
446a1,1,0.0,1.0,1.0
446a1,1,0.0,1.0,1.0
480a1,1,0.0,1.0,1.0
480a1,1,0.0,1.0,1.0
495a1,1,0.0,1.0,1.0
495a1,1,0.0,1.0,1.0
496f1,1,0.0,1.0,1.0
496f1,1,0.0,1.0,1.0
505a1,1,0.0,1.0,1.0
505a1,1,0.0,1.0,1.0
520a1,1,0.0,1.0,1.0
520a1,1,0.0,1.0,1.0
558a1,1,0.0,1.0,1.0
558a1,1,0.0,1.0,1.0
576h1,1,0.0,1.0,1.0
576h1,1,0.0,1.0,1.0
576i1,1,0.0,1.0,1.0
576i1,1,0.0,1.0,1.0
579b1,1,0.0,1.0,1.0
