Label,plus_test,minus_test
58a1,False,False
117a1,False,False
117a2,False,False
117a3,False,False
117a4,False,False
118a1,False,False
152a1,False,False
156a1,False,False
156a2,False,False
162a1,False,False
162a2,False,False
171b1,False,False
171b2,False,False
171b3,False,False
192a1,False,False
192a2,False,False
192a3,False,False
192a4,False,False
208a1,False,False
208a2,False,False
208a3,False,False
219a1,False,False
219c1,False,False
219c2,False,False
225a1,False,False
225a2,False,False
232a1,False,False
243a1,False,False
243a2,False,False
256a1,False,False
256a2,False,False
256b1,False,False
256b2,False,False
274a1,False,False
274b1,False,False
277a1,False,True
288a1,False,False
288a2,False,False
288b1,False,False
288b2,False,False
288b3,False,False
288b4,False,False
294g1,False,False
294g2,False,False
306b1,False,False
306b2,False,False
306b3,False,False
306b4,False,False
330e1,False,False
330e2,False,False
330e3,False,False
330e4,False,False
336e1,False,False
336e2,False,False
336e3,False,False
336e4,False,False
336e5,False,False
336e6,False,False
340a1,False,False
340a2,False,False
350c1,False,False
350c2,False,False
350f1,False,False
359a1,False,False
370a1,False,False
370a2,False,False
370a3,False,False
370a4,False,False
385b1,False,False
385b2,False,False
392a1,False,False
392a2,False,False
392a3,False,False
392a4,False,False
396b1,False,False
396b2,False,False
406a1,False,False
406a2,False,False
410a1,False,False
410a2,False,False
423c1,False,False
423c2,False,False
423c3,False,False
423c4,False,False
425b1,False,False
425c1,False,False
429a1,False,False
429a2,False,False
430b1,False,False
432b1,False,False
432b2,False,False
434a1,False,False
434a2,False,False
434d1,False,False
434d2,False,False
438c1,False,False
438c2,False,False
438d1,False,False
438d2,False,False
438d3,False,False
438d4,False,False
438f1,False,True
438f2,False,True
438f3,False,True
438f4,False,True
440b1,False,False
440b2,False,False
441b1,False,False
441b2,False,False
441c1,False,False
441c2,False,False
441c3,False,False
441c4,False,False
441c5,False,False
441c6,False,False
441f1,False,False
441f2,False,False
448a1,False,False
448a2,False,False
448a3,False,False
448a4,False,False
448b1,False,False
448b2,False,False
448b3,False,False
448b4,False,False
450f1,False,False
450f2,False,False
450f3,False,False
450f4,False,False
455a1,False,False
455a2,False,False
455a3,False,False
455a4,False,False
464a1,False,False
465b1,False,False
465b2,False,False
465b3,False,False
465b4,False,False
470e1,False,False
507c1,False,False
507c2,False,False
507c3,False,False
507c4,False,False
520a1,False,False
520a2,False,False
520a3,False,False
520a4,False,False
525c1,False,False
525c2,False,False
525d1,False,False
525d2,False,False
530b1,False,False
530b2,False,False
549a1,False,False
549a2,False,False
549b1,False,False
549b2,False,False
551b1,False,False
551c1,False,False
557a1,False,False
560d1,False,False
560d2,False,False
560d3,False,False
560d4,False,False
574b1,False,False
574b2,False,False
576a1,False,False
576a2,False,False
576a3,False,False
576a4,False,False
576h1,False,False
576h2,False,False
576h3,False,False
576h4,False,False
579b1,False,False
579b2,False,False
582c1,False,False
582c2,False,False
585a1,False,False
585a2,False,False
600a1,False,False
600a2,False,False
600a3,False,False
600a4,False,False
600a5,False,False
600a6,False,False
608e1,False,False
609b1,False,False
609b2,False,False
609b3,False,False
609b4,False,False
609b5,False,False
609b6,False,False
610b1,False,False
610b2,False,False
610b3,False,False
610b4,False,False
615b1,False,False
620a1,False,False
620a2,False,False
624g1,False,False
624g2,False,False
624g3,False,False
624g4,False,False
626a1,False,False
626a2,False,False
630e1,False,False
630e2,False,False
630e3,False,False
630e4,False,False
639a1,False,False
639a2,False,False
640h1,False,False
640h2,False,False
650k1,False,False
659a1,False,False
660c1,False,False
660c2,False,False
660c3,False,False
660c4,False,False
662a1,False,False
663b1,False,False
663b2,False,False
663b3,False,False
663b4,False,False
663b5,False,False
663b6,False,False
664c1,False,True
670b1,False,False
670b2,False,False
675a1,False,False
675a2,False,False
675a3,False,False
675a4,False,False
703b1,False,False
706a1,False,False
706d1,False,False
706d2,False,False
714a1,False,False
714a2,False,False
720g1,False,False
720g2,False,False
720g3,False,False
720g4,False,False
720h1,False,False
720h2,False,False
720h3,False,False
720h4,False,False
720h5,False,False
720h6,False,False
720h7,False,False
720h8,False,False
726d1,False,False
730i1,False,False
735e1,False,True
735e2,False,True
735e3,False,True
735e4,False,True
735e5,False,True
735e6,False,True
735e7,False,True
735e8,False,True
740b1,False,False
740b2,False,False
744c1,False,False
770f1,False,False
770f2,False,False
770f3,False,False
770f4,False,False
774f1,False,False
774f2,False,False
784j1,False,False
784j2,False,False
784j3,False,False
784j4,False,False
784j5,False,False
784j6,False,False
790a1,False,False
790a2,False,False
791c1,False,False
791c2,False,False
791c3,False,False
791c4,False,False
794b1,False,False
794b2,False,False
798c1,False,False
798c2,False,False
800a1,False,False
800a2,False,False
800a3,False,False
800a4,False,False
800h1,False,False
800h2,False,False
816h1,False,False
816h2,False,False
816h3,False,False
816h4,False,False
816h5,False,False
816h6,False,False
827a1,False,False
831a1,False,False
832c1,False,False
832c2,False,False
832c3,False,False
834c1,False,False
840a1,False,False
840a2,False,False
840a3,False,False
840a4,False,False
840f1,False,False
840f2,False,False
840f3,False,False
840f4,False,False
840f5,False,False
840f6,False,False
846c1,False,False
846c2,False,False
846c3,False,False
846c4,False,False
850e1,False,False
858b1,False,False
858b2,False,False
858b3,False,False
858b4,False,False
866a1,False,False
866a2,False,False
869a1,False,False
870b1,False,False
870b2,False,False
870b3,False,False
870b4,False,False
870e1,False,False
870e2,False,False
873c1,False,False
876b1,False,True
880a1,False,False
880a2,False,False
882h1,False,False
882h2,False,False
886b1,False,False
900c1,False,False
900c2,False,False
906c1,False,False
906c2,False,False
906c3,False,False
910f1,False,False
910f2,False,False
915b1,False,False
915b2,False,False
915b3,False,False
915b4,False,False
915d1,False,False
915d2,False,False
924h1,False,False
924h2,False,False
930d1,False,False
930d2,False,False
936e1,False,False
936e2,False,False
936e3,False,False
936e4,False,False
939c1,False,False
940c1,False,False
940c2,False,False
944c1,False,False
944i1,False,False
944j1,False,False
944j2,False,False
960b1,False,False
960b2,False,False
960b3,False,False
960b4,False,False
960b5,False,False
960b6,False,False
960h1,False,False
960h2,False,False
960h3,False,False
960h4,False,False
960l1,False,False
960l2,False,False
960l3,False,False
960l4,False,False
960l5,False,False
960l6,False,False
972c1,False,False
972c2,False,False
972d1,False,False
972d2,False,False
974h1,False,False
975h1,False,False
975k1,False,False
986e1,False,False
988c1,False,False
990e1,False,False
990e2,False,False
990e3,False,False
990e4,False,False
990e5,False,False
990e6,False,False
990j1,False,False
990j2,False,False
990j3,False,False
990j4,False,False
994g1,False,False
994g2,False,False
994g3,False,False
994g4,False,False
995b1,False,False
995b2,False,False
1008h1,False,False
1008h2,False,False
1008h3,False,False
1008h4,False,False
1008i1,False,False
1008i2,False,False
1008i3,False,False
1008i4,False,False
1008i5,False,False
1008i6,False,False
1017d1,False,False
1020e1,False,False
1020e2,False,False
1022c1,False,False
1022c2,False,False
1026g1,False,False
1026g2,False,False
1040a1,False,False
1040a2,False,False
1040a3,False,False
1040a4,False,False
1044c1,False,False
1045a1,False,False
1045a2,False,False
1050a1,False,False
1050a2,False,False
1050a3,False,False
1050a4,False,False
1050a5,False,False
1050a6,False,False
1050a7,False,False
1050a8,False,False
1050i1,False,False
1050i2,False,False
1056b1,False,False
1056b2,False,False
1056f1,False,False
1056f2,False,False
1056g1,False,False
1056g2,False,False
1056g3,False,False
1056g4,False,False
1062a1,False,False
1062a2,False,False
1062g1,False,False
1062g2,False,False
1065c1,False,False
1066e1,False,False
1066e2,False,False
1066e3,False,False
1066e4,False,False
1074a1,False,False
1085a1,False,False
1085c1,False,False
1085c2,False,False
1088c1,False,False
1088c2,False,False
1088c3,False,False
1088c4,False,False
1095a1,False,False
1095a2,False,False
1095a3,False,False
1095a4,False,False
1096a1,False,False
1106d1,False,False
1106d2,False,False
1106e1,False,False
1106e2,False,False
1106e3,False,False
1106e4,False,False
1107a1,False,False
1107b1,False,False
1110a1,False,False
1110c1,False,False
1110c2,False,False
1110c3,False,False
1110c4,False,False
1113b1,False,False
1113b2,False,False
1120b1,False,False
1120k1,False,False
1122e1,False,False
1122e3,False,False
1122e4,False,False
1122e5,False,False
1122e6,False,False
1122i1,False,False
1122i2,False,False
1128c1,False,False
1128c2,False,False
1130a1,False,False
1130a2,False,False
1130a3,False,False
1130a4,False,False
1131a1,False,False
1131a2,False,False
1139a1,False,False
1139b1,False,False
1139b2,False,False
1142b1,False,False
1146b1,False,False
1146b2,False,False
1146b3,False,False
1146b4,False,False
1154a1,False,False
1154a2,False,False
1155a1,False,False
1155a2,False,False
1155a3,False,False
1155a4,False,False
1158a1,False,False
1158f1,False,False
1158f2,False,False
1160a1,False,False
1160a2,False,False
1160c1,False,False
1160c2,False,False
1160c3,False,False
1160c4,False,False
1190a1,False,False
1190a2,False,False
1190d1,False,False
1190d2,False,False
1190d3,False,False
1190d4,False,False
1200p1,False,False
1200p2,False,False
1200p3,False,False
1200p4,False,False
1200p5,False,False
1200p6,False,False
1200p7,False,False
1200p8,False,False
1209b1,False,False
1210e1,False,False
1210e2,False,False
1210f1,False,False
1210k1,False,False
1216d1,False,False
1216d2,False,False
1216d3,False,False
1216n1,False,False
1216q1,False,False
1216q2,False,False
1216q3,False,False
1227b1,False,False
1230a1,False,False
1230a2,False,False
1230c1,False,False
1230c2,False,False
1230c3,False,False
1230c4,False,False
1230h1,False,False
1230h3,False,False
1230h4,False,False
1234a1,False,False
1238a1,False,False
1246f1,False,False
1246f2,False,False
1246g1,False,False
1246g2,False,False
1248a1,False,False
1248a2,False,False
1248d1,False,False
1248d2,False,False
1248i1,False,False
1248i2,False,False
1254h1,False,False
1254h2,False,False
1254h3,False,False
1254h4,False,False
1254h5,False,False
1254h6,False,False
1260j1,False,False
1260j2,False,False
1260j3,False,False
1264i1,False,False
1264i2,False,False
1271a1,False,False
1271a2,False,False
1284a1,False,True
1284c1,False,False
1287c1,False,False
1287c2,False,False
1302l1,False,False
1302l3,False,False
1302l4,False,False
1302l5,False,False
1302l6,False,False
1312a1,False,False
1312a2,False,False
1312b1,False,False
1312b2,False,False
1314a1,False,False
1314a2,False,False
1314a3,False,False
1314a4,False,False
1314b1,False,False
1314b2,False,False
1314c1,False,False
1314c2,False,False
