Conductor,Rank,mu_7,lam_7,lam_7_MW
106b1,1,0.0,3.0,1.0
106b1,1,0.0,1.0,1.0
201a1,1,0.0,3.0,1.0
201a1,1,0.0,1.0,1.0
256a1,1,0.0,3.0,1.0
256a1,1,0.0,1.0,1.0
423c1,1,0.0,3.0,1.0
423c1,1,0.0,1.0,1.0
429a1,1,0.0,3.0,1.0
429a1,1,0.0,1.0,1.0
550g1,1,0.0,3.0,1.0
550g1,1,0.0,1.0,1.0
610b1,1,0.0,3.0,1.0
610b1,1,0.0,1.0,1.0
688c1,1,0.0,7.0,1.0
688c1,1,0.0,1.0,1.0
850c1,1,0.0,3.0,1.0
850c1,1,0.0,1.0,1.0
888c1,1,0.0,3.0,1.0
888c1,1,0.0,1.0,1.0
897c1,1,0.0,3.0,1.0
897c1,1,0.0,1.0,1.0
960b1,1,0.0,3.0,1.0
960b1,1,0.0,1.0,1.0
990e1,1,0.0,3.0,1.0
990e1,1,0.0,1.0,1.0
1045b1,1,0.0,3.0,1.0
1045b1,1,0.0,1.0,1.0
1062f1,1,0.0,3.0,1.0
1062f1,1,0.0,1.0,1.0
1062h1,1,0.0,3.0,1.0
1062h1,1,0.0,1.0,1.0
1128c1,1,0.0,5.0,1.0
1128c1,1,0.0,1.0,1.0
1142b1,1,0.0,3.0,1.0
1142b1,1,0.0,1.0,1.0
1160c1,1,0.0,3.0,1.0
1160c1,1,0.0,1.0,1.0
1170d1,1,0.0,3.0,1.0
1170d1,1,0.0,1.0,1.0
1206e1,1,0.0,7.0,7.0
1206e1,1,0.0,1.0,1.0
1215c1,1,0.0,3.0,1.0
1215c1,1,0.0,1.0,1.0
1287c1,1,0.0,3.0,1.0
1287c1,1,0.0,1.0,1.0
1299b1,1,0.0,3.0,1.0
1299b1,1,0.0,1.0,1.0
1334a1,1,0.0,3.0,1.0
1334a1,1,0.0,1.0,1.0
1368e1,1,0.0,3.0,1.0
1368e1,1,0.0,1.0,1.0
1387a1,1,0.0,3.0,1.0
1387a1,1,0.0,1.0,1.0
1394c1,1,0.0,3.0,1.0
1394c1,1,0.0,5.0,1.0
1394e1,1,0.0,3.0,1.0
1394e1,1,0.0,1.0,1.0
1464c1,1,0.0,3.0,1.0
1464c1,1,0.0,1.0,1.0
1550a1,1,0.0,3.0,1.0
1550a1,1,0.0,1.0,1.0
1550g1,1,0.0,5.0,1.0
1550g1,1,0.0,1.0,1.0
1578b1,1,0.0,3.0,1.0
1578b1,1,0.0,1.0,1.0
