Conductor,Rank,mu_11,lam_11,lam_11_MW
205a1,1,0.0,1.0,1.0
205a1,1,0.0,5.0,1.0
225a1,1,0.0,1.0,1.0
225a1,1,0.0,3.0,1.0
272b1,1,0.0,1.0,1.0
272b1,1,0.0,5.0,1.0
298a1,1,0.0,1.0,1.0
298a1,1,0.0,3.0,1.0
342c1,1,0.0,1.0,1.0
342c1,1,0.0,3.0,1.0
459h1,1,0.0,1.0,1.0
459h1,1,0.0,3.0,1.0
494a1,1,0.0,1.0,1.0
494a1,1,0.0,3.0,1.0
552e1,1,0.0,1.0,1.0
552e1,1,0.0,3.0,1.0
576h1,1,0.0,1.0,1.0
576h1,1,0.0,3.0,1.0
657c1,1,0.0,1.0,1.0
657c1,1,0.0,3.0,1.0
680a1,1,0.0,1.0,1.0
680a1,1,0.0,3.0,1.0
777d1,1,0.0,1.0,1.0
777d1,1,0.0,3.0,1.0
899a1,1,0.0,1.0,1.0
899a1,1,0.0,3.0,1.0
905a1,1,0.0,1.0,1.0
905a1,1,0.0,3.0,1.0
942c1,1,0.0,1.0,1.0
942c1,1,0.0,3.0,1.0
1050a1,1,0.0,1.0,1.0
1050a1,1,0.0,3.0,1.0
1161c1,1,0.0,1.0,1.0
1161c1,1,0.0,5.0,1.0
1175c1,1,0.0,1.0,1.0
1175c1,1,0.0,3.0,1.0
1200p1,1,0.0,1.0,1.0
1200p1,1,0.0,3.0,1.0
1225g1,1,0.0,1.0,1.0
1225g1,1,0.0,3.0,1.0
1302f1,1,0.0,1.0,1.0
1302f1,1,0.0,3.0,1.0
1350i1,1,0.0,1.0,1.0
1350i1,1,0.0,3.0,1.0
1360i1,1,0.0,1.0,1.0
1360i1,1,0.0,3.0,1.0
1407d1,1,0.0,1.0,1.0
1407d1,1,0.0,3.0,1.0
1421i1,1,0.0,1.0,1.0
1421i1,1,0.0,3.0,1.0
1454b1,1,0.0,1.0,1.0
1454b1,1,0.0,3.0,1.0
1482d1,1,0.0,1.0,1.0
1482d1,1,0.0,3.0,1.0
1512e1,1,0.0,1.0,1.0
1512e1,1,0.0,3.0,1.0
1512j1,1,0.0,1.0,1.0
1512j1,1,0.0,3.0,1.0
1525c1,1,0.0,2.0,1.0
1525c1,1,0.0,4.0,1.0
1575d1,1,0.0,1.0,1.0
1575d1,1,0.0,3.0,1.0
1600t1,1,0.0,1.0,1.0
1600t1,1,0.0,5.0,1.0
1666k1,1,0.0,1.0,1.0
1666k1,1,0.0,3.0,1.0
1680n1,1,0.0,1.0,1.0
1680n1,1,0.0,3.0,1.0
1719b1,1,0.0,1.0,1.0
1719b1,1,0.0,3.0,1.0
