Conductor,Rank,mu_11,lam_11,lam_11_MW
53a1,1,0.0,1.0,1.0
53a1,1,0.0,1.0,1.0
91b1,1,0.0,1.0,1.0
91b1,1,0.0,1.0,1.0
102a1,1,0.0,1.0,1.0
102a1,1,0.0,1.0,1.0
112a1,1,0.0,1.0,1.0
112a1,1,0.0,1.0,1.0
131a1,1,0.0,1.0,1.0
131a1,1,0.0,1.0,1.0
142a1,1,0.0,1.0,1.0
142a1,1,0.0,1.0,1.0
162a1,1,0.0,1.0,1.0
162a1,1,0.0,1.0,1.0
185c1,1,0.0,1.0,1.0
185c1,1,0.0,1.0,1.0
190b1,1,0.0,1.0,1.0
190b1,1,0.0,1.0,1.0
201c1,1,0.0,1.0,1.0
201c1,1,0.0,1.0,1.0
219b1,1,0.0,1.0,1.0
219b1,1,0.0,1.0,1.0
240c1,1,0.0,1.0,1.0
240c1,1,0.0,1.0,1.0
243a1,1,0.0,1.0,1.0
243a1,1,0.0,1.0,1.0
256b1,1,0.0,1.0,1.0
256b1,1,0.0,1.0,1.0
265a1,1,0.0,1.0,1.0
265a1,1,0.0,1.0,1.0
282b1,1,0.0,1.0,1.0
282b1,1,0.0,1.0,1.0
288a1,1,0.0,1.0,1.0
288a1,1,0.0,1.0,1.0
289a1,1,0.0,1.0,1.0
289a1,1,0.0,1.0,1.0
310b1,1,0.0,1.0,1.0
310b1,1,0.0,1.0,1.0
315b1,1,0.0,1.0,1.0
315b1,1,0.0,1.0,1.0
320f1,1,0.0,1.0,1.0
320f1,1,0.0,1.0,1.0
326a1,1,0.0,1.0,1.0
326a1,1,0.0,1.0,1.0
328a1,1,0.0,1.0,1.0
328a1,1,0.0,1.0,1.0
331a1,1,0.0,1.0,1.0
331a1,1,0.0,1.0,1.0
338e1,1,0.0,1.0,1.0
338e1,1,0.0,1.0,1.0
356a1,1,0.0,1.0,1.0
356a1,1,0.0,1.0,1.0
368e1,1,0.0,1.0,1.0
368e1,1,0.0,1.0,1.0
368g1,1,0.0,1.0,1.0
368g1,1,0.0,1.0,1.0
371a1,1,0.0,1.0,1.0
371a1,1,0.0,1.0,1.0
372a1,1,0.0,1.0,1.0
372a1,1,0.0,1.0,1.0
390a1,1,0.0,1.0,1.0
390a1,1,0.0,1.0,1.0
402a1,1,0.0,1.0,1.0
402a1,1,0.0,1.0,1.0
402d1,1,0.0,1.0,1.0
402d1,1,0.0,1.0,1.0
414c1,1,0.0,1.0,1.0
414c1,1,0.0,1.0,1.0
425a1,1,0.0,1.0,1.0
425a1,1,0.0,1.0,1.0
430b1,1,0.0,1.0,1.0
430b1,1,0.0,1.0,1.0
432b1,1,0.0,1.0,1.0
432b1,1,0.0,1.0,1.0
438f1,1,0.0,1.0,1.0
438f1,1,0.0,1.0,1.0
441b1,1,0.0,1.0,1.0
441b1,1,0.0,1.0,1.0
455a1,1,0.0,1.0,1.0
455a1,1,0.0,1.0,1.0
455b1,1,0.0,1.0,1.0
455b1,1,0.0,1.0,1.0
459a1,1,0.0,1.0,1.0
459a1,1,0.0,1.0,1.0
469a1,1,0.0,1.0,1.0
469a1,1,0.0,1.0,1.0
469b1,1,0.0,1.0,1.0
