Conductor,Rank,mu_5,lam_5,lam_5_MW
901a1,1,0.0,1.0,1.0
901a1,1,0.0,1.0,1.0
901b1,1,0.0,1.0,1.0
901b1,1,0.0,1.0,1.0
903a1,1,0.0,1.0,1.0
903a1,1,0.0,1.0,1.0
906a1,1,0.0,1.0,1.0
906a1,1,0.0,1.0,1.0
906c1,1,0.0,1.0,1.0
906c1,1,0.0,1.0,1.0
912h1,1,0.0,1.0,1.0
912h1,1,0.0,1.0,1.0
914a1,1,0.0,1.0,1.0
914a1,1,0.0,1.0,1.0
918e1,1,0.0,1.0,1.0
918e1,1,0.0,1.0,1.0
918i1,1,0.0,1.0,1.0
918i1,1,0.0,1.0,1.0
933a1,1,0.0,1.0,1.0
933a1,1,0.0,1.0,1.0
936g1,1,0.0,1.0,1.0
936g1,1,0.0,1.0,1.0
936h1,1,0.0,1.0,1.0
936h1,1,0.0,1.0,1.0
939b1,1,0.0,1.0,1.0
939b1,1,0.0,1.0,1.0
946b1,1,0.0,1.0,1.0
946b1,1,0.0,1.0,1.0
984d1,1,0.0,1.0,1.0
984d1,1,0.0,1.0,1.0
986e1,1,0.0,1.0,1.0
986e1,1,0.0,1.0,1.0
994d1,1,0.0,1.0,1.0
994d1,1,0.0,1.0,1.0
994g1,1,0.0,1.0,1.0
994g1,1,0.0,1.0,1.0
997a1,1,0.0,1.0,1.0
997a1,1,0.0,1.0,1.0
1006d1,1,0.0,1.0,1.0
1006d1,1,0.0,1.0,1.0
1006e1,1,0.0,1.0,1.0
1006e1,1,0.0,1.0,1.0
1008j1,1,0.0,1.0,1.0
1008j1,1,0.0,1.0,1.0
1028b1,1,0.0,1.0,1.0
1028b1,1,0.0,1.0,1.0
1034b1,1,0.0,1.0,1.0
1034b1,1,0.0,1.0,1.0
1038a1,1,0.0,1.0,1.0
1038a1,1,0.0,1.0,1.0
1044c1,1,0.0,1.0,1.0
1044c1,1,0.0,1.0,1.0
1044e1,1,0.0,1.0,1.0
1044e1,1,0.0,1.0,1.0
1054a1,1,0.0,1.0,1.0
1054a1,1,0.0,1.0,1.0
1056a1,1,0.0,1.0,1.0
1056a1,1,0.0,1.0,1.0
1062a1,1,0.0,1.0,1.0
1062a1,1,0.0,1.0,1.0
1062c1,1,0.0,1.0,1.0
1062c1,1,0.0,1.0,1.0
1078j1,1,0.0,1.0,1.0
1078j1,1,0.0,1.0,1.0
1083d1,1,0.0,1.0,1.0
1083d1,1,0.0,1.0,1.0
1088b1,1,0.0,1.0,1.0
1088b1,1,0.0,1.0,1.0
1088c1,1,0.0,1.0,1.0
1088c1,1,0.0,1.0,1.0
1088d1,1,0.0,1.0,1.0
1088d1,1,0.0,1.0,1.0
1096b1,1,0.0,1.0,1.0
