Label,plus_test,minus_test
61a1,False,False
122a1,False,False
128a1,False,False
128a2,False,False
135a1,False,False
185a1,False,False
198a1,False,False
198a2,False,False
198a3,False,False
198a4,False,False
200b1,False,False
200b2,False,False
205a1,False,False
205a2,False,False
205a3,False,False
205a4,False,False
238a1,False,False
238a2,False,False
240c1,False,False
240c2,False,False
240c3,False,False
240c4,False,False
244a1,False,False
252b1,False,False
252b2,False,False
256a1,False,False
256a2,False,False
256b1,False,False
256b2,False,False
280a1,False,False
285a1,False,False
285a2,False,False
285b1,False,False
285b2,False,False
286b1,False,False
286c1,False,False
288a1,False,False
288a2,False,False
335a1,False,False
336e1,False,False
336e2,False,False
336e3,False,False
336e4,False,False
336e5,False,False
336e6,False,False
338e1,False,False
338e2,False,False
354f1,False,False
361a1,False,False
361a2,False,False
368a1,False,False
368a2,False,False
390a1,False,False
390a2,False,False
390a3,False,False
390a4,False,False
399a1,False,False
399a2,False,False
399b1,False,False
399b2,False,False
405c1,False,False
405c2,False,False
405d1,False,False
405d2,False,False
410a1,False,False
410a2,False,False
410d1,False,False
410d2,False,False
414d1,False,False
414d2,False,False
423g1,False,False
427c1,False,False
429b1,False,False
429b2,False,False
429b3,False,False
429b4,False,False
429b5,False,False
429b6,False,False
440b1,False,False
440b2,False,False
441c1,False,False
441c2,False,False
441c3,False,False
441c4,False,False
441c5,False,False
441c6,False,False
441d1,False,False
441d2,False,False
441d3,False,False
441d4,False,False
455a1,False,False
455a2,False,False
455a3,False,False
455a4,False,False
474b1,False,False
480a1,False,False
480a2,False,False
480a3,False,False
480a4,False,False
522a1,False,True
522e1,False,False
522i1,False,False
528a1,False,False
528a2,False,False
530d1,False,False
545a1,False,False
545a2,False,False
545a3,False,False
545a4,False,False
546c1,False,False
546c2,False,False
546c3,False,False
546c4,False,False
552a1,False,False
552a2,False,False
552d1,False,False
552d2,False,False
552d3,False,False
552d4,False,False
566a1,False,False
570c1,False,False
570c2,False,False
574b1,False,False
574b2,False,False
574h1,False,False
574h2,False,False
576h1,False,False
576h2,False,False
576h3,False,False
576h4,False,False
579b1,False,False
579b2,False,False
580b1,False,True
580b2,False,True
590d1,False,False
594d1,False,False
610b1,False,False
610b2,False,False
610b3,False,False
610b4,False,False
637a1,False,False
637a2,False,False
637c1,False,False
637c2,False,False
646d1,False,True
646d2,False,True
665a1,False,False
670a1,False,False
672a1,False,False
672a2,False,False
678c1,False,False
678c2,False,False
681e1,False,False
690h1,False,False
690h2,False,False
696g1,False,False
703b1,False,False
705b1,False,False
714a1,False,False
714a2,False,False
714d1,False,False
714d2,False,False
720e1,False,False
720e2,False,False
720e3,False,False
720e4,False,False
720h1,False,False
720h2,False,False
720h3,False,False
720h4,False,False
720h5,False,False
720h6,False,False
720h7,False,False
720h8,False,False
726g1,False,False
735e1,False,False
735e2,False,False
735e3,False,False
735e4,False,False
735e5,False,False
735e6,False,False
735e7,False,False
735e8,False,False
740c1,False,False
756c1,False,False
759b1,False,False
759b2,False,False
759b3,False,False
759b4,False,False
759b5,False,False
759b6,False,False
760e1,False,False
760e2,False,False
760e3,False,False
760e4,False,False
762d1,False,False
770e1,False,False
770e2,False,False
770e3,False,False
770e4,False,False
777d1,False,False
777d2,False,False
777d3,False,False
777d4,False,False
784h1,False,False
784h2,False,False
784h3,False,False
784h4,False,False
791c1,False,False
791c2,False,False
791c3,False,False
791c4,False,False
792d1,False,False
792d2,False,False
792d3,False,False
792d4,False,False
799b1,False,False
799b2,False,False
800a1,False,False
800a2,False,False
800a3,False,False
800a4,False,False
800h1,False,False
800h2,False,False
819a1,False,False
819a2,False,False
819b1,False,False
819b2,False,False
828b1,False,False
828b2,False,False
829a1,False,False
840a1,False,False
840a2,False,False
840a3,False,False
840a4,False,False
840f1,False,False
840f2,False,False
840f3,False,False
840f4,False,False
840f5,False,False
840f6,False,False
855b1,False,False
855b2,False,False
858f1,False,False
861c1,False,False
864b1,False,False
864l1,False,False
870f1,False,False
870f2,False,False
872a1,False,False
880a1,False,False
880a2,False,False
880h1,False,False
880h2,False,False
882e1,False,False
882e2,False,False
882e3,False,False
882e4,False,False
882e5,False,False
882e6,False,False
885c1,False,False
897c1,False,False
897c2,False,False
897c3,False,False
897c4,False,False
897e1,False,False
897e2,False,False
897e3,False,False
897e4,False,False
897f1,False,False
897f2,False,False
901f1,False,False
914a1,False,False
914a2,False,False
915d1,False,False
915d2,False,False
918a1,False,False
936e1,False,True
936e2,False,True
936e3,False,True
936e4,False,True
938b1,False,False
938b2,False,False
939a1,False,False
939b1,False,False
939b2,False,False
960k1,False,False
960k2,False,False
960k3,False,False
960k4,False,False
966d1,False,True
966d2,False,True
966e1,False,False
966e2,False,False
976c1,False,False
990a1,False,False
990a2,False,False
990e1,False,False
990e2,False,False
990e3,False,False
990e4,False,False
990e5,False,False
990e6,False,False
994f1,False,False
994f2,False,False
994f3,False,False
994f4,False,False
1022b1,False,False
1022b2,False,False
1022b3,False,False
1022b4,False,False
1022c1,False,False
1022c2,False,False
1025a1,False,False
1025a2,False,False
1050h1,False,False
1050h2,False,False
1050h3,False,False
1050h4,False,False
1050h5,False,False
1050h6,False,False
1066e1,False,False
1066e2,False,False
1066e3,False,False
1066e4,False,False
1071b1,False,False
1074h1,False,False
1086c1,False,False
1086d1,False,False
1098i1,False,False
1098j1,False,False
1100c1,False,False
1100c2,False,False
1104e1,False,False
1104e2,False,False
1106e1,False,False
1106e2,False,False
1106e3,False,False
1106e4,False,False
1120l1,False,False
1120l2,False,False
1120l3,False,False
1120l4,False,False
1122a1,False,False
1122a2,False,False
1130c1,False,False
1140a1,False,False
1140a2,False,False
1140b1,False,False
1140b2,False,False
1152s1,False,False
1152s2,False,False
1155a1,False,False
1155a2,False,False
1155a3,False,False
1155a4,False,False
1155b1,False,False
1158f1,False,False
1158f2,False,False
1160a1,False,False
1160a2,False,False
1166a1,False,False
1170e1,False,False
1170e2,False,False
1173f1,False,False
1186b1,False,False
1188c1,False,False
1190a1,False,False
1190a2,False,False
1197a1,False,False
1197a2,False,False
1197b1,False,False
1197b2,False,False
1200i1,False,False
1200i2,False,False
1206e1,False,False
1206e2,False,False
1206e3,False,False
1206e4,False,False
1221b1,False,False
1221b2,False,False
1230a1,False,False
1230a2,False,False
1242g1,False,False
1254h1,False,False
1254h2,False,False
1254h3,False,False
1254h4,False,False
1254h5,False,False
1254h6,False,False
1266a1,False,False
1269e1,False,False
1290e1,False,False
1290e2,False,False
1290e3,False,False
1290e4,False,False
1299b1,False,False
1299b2,False,False
1299b3,False,False
1299b4,False,False
1300d1,False,False
1300d2,False,False
1304b1,False,False
1310a1,False,False
1311c1,False,True
1320d1,False,False
1320d2,False,False
1320i1,False,False
1320i2,False,False
1320i3,False,False
1320i4,False,False
1320n1,False,False
1320n3,False,False
1320n4,False,False
1325a1,False,False
1325f1,False,False
1330f1,False,False
1339a1,False,False
1344a1,False,False
1344a2,False,False
1344a3,False,False
1344a4,False,False
1344a5,False,False
1344a6,False,False
1344m1,False,False
1344m2,False,False
1344m3,False,False
1344m4,False,False
1344m5,False,False
1344m6,False,False
1344n1,False,False
1344n2,False,False
1344n3,False,False
1344n4,False,False
1344o1,False,False
1344o2,False,False
1344q1,False,False
1344q2,False,False
1344q3,False,False
1344q4,False,False
1356b1,False,False
1362b1,False,False
1362c1,False,False
1362d1,False,False
1387a1,False,False
1392a1,False,False
1392m1,False,False
1392n1,False,False
1394c1,False,False
1394c2,False,False
1400j1,False,False
1400k1,False,False
1410a1,False,False
1411a1,False,False
1414a1,False,False
1420a1,False,False
1420a2,False,False
1421h1,False,False
1421i1,False,False
1424e1,False,False
1424e2,False,False
1435a1,False,False
1435c1,False,False
1442e1,False,False
1442e2,False,False
1443e1,False,False
1443e2,False,False
1452a1,False,False
1452b1,False,False
1452c1,False,False
1452c2,False,False
1470k3,False,False
1470k4,False,False
1470k5,False,False
1470k6,False,False
1470k7,False,False
1470k8,False,False
1482d1,False,False
1496b1,False,False
1506f1,False,False
1518f1,False,False
1518f2,False,False
1518f3,False,False
1518f4,False,False
1520b1,False,False
1520b2,False,False
1520b3,False,False
1520b4,False,False
1525a1,False,False
1530j1,False,False
1530j2,False,False
1539b1,False,False
1539d1,False,False
1554b1,False,False
1554c1,False,False
1554c2,False,False
1554c3,False,False
1554c4,False,False
1554j1,False,False
1560i1,False,False
1560i2,False,False
1560i3,False,False
1560i4,False,False
1568g1,False,False
1568g2,False,False
1568g3,False,False
1568g4,False,False
1570a1,False,False
1570a2,False,False
1570a3,False,False
1570a4,False,False
1575g1,False,False
1575g2,False,False
1575g3,False,False
1575g4,False,False
1575g5,False,False
1575g6,False,False
1584f1,False,False
1584f2,False,False
1584g1,False,False
1584g2,False,False
1584g3,False,False
1584g4,False,False
1584m1,False,False
1584m2,False,False
1584n1,False,False
1584n2,False,False
1584n3,False,False
1584n4,False,False
1585a1,False,False
1585a2,False,False
1596b1,False,False
1596b2,False,False
1600t1,False,False
1600t2,False,False
1600u1,False,False
1600u2,False,False
1600w1,False,False
1600w2,False,False
1600x1,False,False
1600x2,False,False
1602c1,False,False
1602c2,False,False
1611e1,False,False
1616f1,False,False
1632h1,False,False
1632h2,False,False
1632h3,False,False
1632h4,False,False
1634d1,False,False
1640e1,False,False
1640e2,False,False
1650a1,False,False
1650a2,False,False
1650a3,False,False
1650a4,False,False
1650a5,False,False
1650a6,False,False
1650h1,False,False
1650h4,False,False
1650h5,False,False
1656f1,False,False
1656f2,False,False
1664b1,False,False
1664p1,False,False
1664q1,False,False
1665g1,False,False
1666i1,False,True
1666j1,False,False
1666k1,False,False
1666k2,False,False
1666k3,False,False
1666k4,False,False
1675a1,False,False
1677a1,False,False
1677a2,False,False
1680g1,False,False
1680g2,False,False
1680g3,False,False
1680g4,False,False
1680h1,False,False
1680h2,False,False
1680h4,False,False
1680h6,False,False
1701a1,False,False
1701c1,False,False
1728z1,False,False
1728ba1,False,False
1737a1,False,False
1737a2,False,False
1737b1,False,False
1740b1,False,False
1740b2,False,False
1742a1,False,False
1748b1,False,False
1748c1,False,False
1752g1,False,False
1752g2,False,False
1752g3,False,False
1752g4,False,False
1752h1,False,False
1752h2,False,False
1763a1,False,False
1763d1,False,False
1765a1,False,False
1771d1,False,False
1785k1,False,False
1785k2,False,False
1785k3,False,False
1785k4,False,False
1785o1,False,False
1785o3,False,False
1785o5,False,False
1785o6,False,False
1794g1,False,False
1794g2,False,False
1800j1,False,False
1800j2,False,False
1800k1,False,False
1800k2,False,False
1800p1,False,False
1800p2,False,False
1800q1,False,False
1800q2,False,False
1814a1,False,False
1815a1,False,False
1815a2,False,False
1815a3,False,False
1815a4,False,False
1815a5,False,False
1815a6,False,False
1815a7,False,False
1815a8,False,False
1818l1,False,True
1824i1,False,False
1824i2,False,False
1824i3,False,False
1824i4,False,False
1845d1,False,False
1845d2,False,False
1845f1,False,False
1845f2,False,False
1848l1,False,False
1850k1,False,False
1864a1,False,False
1872i1,False,False
1872i2,False,False
1872i3,False,False
1872i4,False,False
1886c1,False,False
1886c2,False,False
1904c1,False,False
1904c2,False,False
1904c3,False,False
1904c4,False,False
1904e1,False,False
1904e2,False,False
1911b1,False,False
1914l1,False,False
1914l2,False,False
1918f1,False,False
1918f2,False,False
1925h1,False,False
1925h2,False,False
1938a1,False,False
1938a2,False,False
1938b1,False,False
1938b2,False,False
1938f1,False,False
1938f2,False,False
1938f3,False,False
1938f4,False,False
1950i1,False,False
1950i2,False,False
1952a1,False,False
1952c1,False,False
1952d1,False,False
1960a1,False,False
1960e1,False,False
1960f1,False,False
1961a1,False,False
1961a2,False,False
1961a3,False,False
1961a4,False,False
1962a1,False,False
1962a2,False,False
1974f1,False,False
1974f2,False,False
1975a1,False,False
1975a2,False,False
1975a3,False,False
1975a4,False,False
1980a1,False,False
1980a2,False,False
1980e1,False,False
1980e2,False,False
1990b1,False,False
1990b2,False,False
1995e1,False,False
1995e2,False,False
1995e3,False,False
1995e4,False,False
1998a1,False,False
2016f1,False,False
2016f2,False,False
2016h1,False,False
2016h2,False,False
2016h3,False,False
2016h4,False,False
2016k1,False,True
2016k2,False,True
2017a1,False,False
2025c1,False,False
2025c2,False,False
2030a1,False,False
2030a2,False,False
2030a3,False,False
2030a4,False,False
2040g1,False,False
2040h1,False,False
2050f1,False,False
2050f2,False,False
2054c1,False,False
2062a1,False,False
2062b1,False,False
2070e1,False,False
2070e2,False,False
2070f1,False,False
2070f2,False,False
2070f3,False,False
2070f4,False,False
2070f5,False,False
2070f6,False,False
2070h1,False,False
2070h2,False,False
2070n1,False,False
2070n2,False,False
2070n3,False,False
2070n4,False,False
2088f1,False,False
2110b1,False,False
2110d1,False,False
2112a1,False,False
2112a2,False,False
2112q1,False,False
2112q2,False,False
2112r1,False,False
2112r2,False,False
2112r3,False,False
2112r4,False,False
2112w1,False,False
2112w2,False,False
2112w3,False,False
2112w4,False,False
2112y1,False,False
2112y2,False,False
2112y3,False,False
2112y4,False,False
2112z1,False,False
2112z2,False,False
2114d1,False,False
2114d2,False,False
2120a1,False,False
2130j1,False,False
2130j2,False,False
